Farm,Latitude,Longitude
DE_Lewes,38.732719,-75.180519
DE_Georgetown,38.639656,-75.458267
DE_Concord,38.639386,-75.525808
DE_Laurel,38.502697,-75.516772
DE_Seaford,38.597775,-75.679592
DE_Bridgeville,38.746942,-75.563456
DE_Greenwood,38.808889,-75.568836
DE_Harrington,38.928447,-75.530858
DE_Milford,38.979039,-75.452267
DE_RisingSun,39.074425,-75.504467
DE_Dover,39.13225,-75.564189
DE_Wyoming,39.125753,-75.587733
NJ_Allamuchy,40.93844,-74.80331
NJ_Beckett,39.75234,-75.34722
NJ_Califon,40.73244,-74.83835
NJ_Cedarville1,39.34068,-75.23609
NJ_ChesterD,40.7799,-74.72956
NJ_Cinnaminson,40.01331,-74.99232
NJ_Crosswicks,40.13709,-74.6295
NJ_DaytonV,40.37816,-74.53069
NJ_EastVineland1,39.45564,-74.94865
NJ_EastVineland2,39.44417,-74.92473
NJ_Eldora,39.21004,-74.90032
NJ_ElmD,39.68682,-74.81237
NJ_Farmingdale,40.20758,-74.23802
NJ_Folsom,39.60601,-74.84462
NJ_FolsomE,39.60379,-74.80348
NJ_Georgetown,40.09881,-74.64517
NJ_GreenCreek,39.06274,-74.89752
NJ_Hackettstown,40.82815,-74.8499
NJ_HammontonD2,39.67524,-74.79651
NJ_IndianMillsJ2,39.82668,-74.72777
NJ_Jobstown,40.0565,-74.6643
NJ_JonesIsland,39.30995,-75.22312
NJ_Matawan,40.41855,-74.21177
NJ_Milford,40.58499,-75.15763
NJ_Monroeville,39.7169,-75.1497
NJ_NewEgyptH,40.06747,-74.48918
NJ_Oldwick,40.66512,-74.74884
NJ_Pedricktown,39.74823,-75.41856
NJ_Pennington,40.34111,-74.77023
NJ_SouthBranch,40.5322,-74.6927
NJ_Sparta,41.0674,-74.6516
NJ_Springdale,39.89154,-74.96934
NJ_Tabernacle,39.83522,-74.70663
NJ_WoodstownB,39.65434,-75.41156
