BioSample,LibraryName,refGenome,Run,BioProject,fq1,fq2,lat,long
SRR15350534,SRR15350534,GCA_022581195.1,SRR15350534,PRJNA751583,NaN,NaN,NaN,NaN
SRR15350535,SRR15350535,GCA_022581195.1,SRR15350535,PRJNA751583,NaN,NaN,NaN,NaN
SRR15350536,SRR15350536,GCA_022581195.1,SRR15350536,PRJNA751583,NaN,NaN,NaN,NaN
SRR15350537,SRR15350537,GCA_022581195.1,SRR15350537,PRJNA751583,NaN,NaN,NaN,NaN
SRR15350538,SRR15350538,GCA_022581195.1,SRR15350538,PRJNA751583,NaN,NaN,NaN,NaN
SRR15350539,SRR15350539,GCA_022581195.1,SRR15350539,PRJNA751583,NaN,NaN,NaN,NaN
SRR15350540,SRR15350540,GCA_022581195.1,SRR15350540,PRJNA751583,NaN,NaN,NaN,NaN
SRR15350541,SRR15350541,GCA_022581195.1,SRR15350541,PRJNA751583,NaN,NaN,NaN,NaN
SRR15350542,SRR15350542,GCA_022581195.1,SRR15350542,PRJNA751583,NaN,NaN,NaN,NaN
SRR15350543,SRR15350543,GCA_022581195.1,SRR15350543,PRJNA751583,NaN,NaN,NaN,NaN
SRR15350544,SRR15350544,GCA_022581195.1,SRR15350544,PRJNA751583,NaN,NaN,NaN,NaN
SRR15350545,SRR15350545,GCA_022581195.1,SRR15350545,PRJNA751583,NaN,NaN,NaN,NaN
SRR15350546,SRR15350546,GCA_022581195.1,SRR15350546,PRJNA751583,NaN,NaN,NaN,NaN
SRR15351348,SRR15351348,GCA_022581195.1,SRR15351348,PRJNA751583,NaN,NaN,NaN,NaN
SRR15351349,SRR15351349,GCA_022581195.1,SRR15351349,PRJNA751583,NaN,NaN,NaN,NaN
SRR15351350,SRR15351350,GCA_022581195.1,SRR15351350,PRJNA751583,NaN,NaN,NaN,NaN
SRR15351351,SRR15351351,GCA_022581195.1,SRR15351351,PRJNA751583,NaN,NaN,NaN,NaN
SRR15351352,SRR15351352,GCA_022581195.1,SRR15351352,PRJNA751583,NaN,NaN,NaN,NaN
SRR15351353,SRR15351353,GCA_022581195.1,SRR15351353,PRJNA751583,NaN,NaN,NaN,NaN
SRR15351354,SRR15351354,GCA_022581195.1,SRR15351354,PRJNA751583,NaN,NaN,NaN,NaN
SRR15351355,SRR15351355,GCA_022581195.1,SRR15351355,PRJNA751583,NaN,NaN,NaN,NaN
SRR15351356,SRR15351356,GCA_022581195.1,SRR15351356,PRJNA751583,NaN,NaN,NaN,NaN
SRR15351357,SRR15351357,GCA_022581195.1,SRR15351357,PRJNA751583,NaN,NaN,NaN,NaN
SRR15351358,SRR15351358,GCA_022581195.1,SRR15351358,PRJNA751583,NaN,NaN,NaN,NaN
SRR15465881,SRR15465881,GCA_022581195.1,SRR15465881,PRJNA751583,NaN,NaN,NaN,NaN
SRR15465882,SRR15465882,GCA_022581195.1,SRR15465882,PRJNA751583,NaN,NaN,NaN,NaN
SRR15465883,SRR15465883,GCA_022581195.1,SRR15465883,PRJNA751583,NaN,NaN,NaN,NaN
SRR15465884,SRR15465884,GCA_022581195.1,SRR15465884,PRJNA751583,NaN,NaN,NaN,NaN
SRR15465885,SRR15465885,GCA_022581195.1,SRR15465885,PRJNA751583,NaN,NaN,NaN,NaN
SRR15465886,SRR15465886,GCA_022581195.1,SRR15465886,PRJNA751583,NaN,NaN,NaN,NaN
SRR15465887,SRR15465887,GCA_022581195.1,SRR15465887,PRJNA751583,NaN,NaN,NaN,NaN
SRR15465888,SRR15465888,GCA_022581195.1,SRR15465888,PRJNA751583,NaN,NaN,NaN,NaN
SRR15465889,SRR15465889,GCA_022581195.1,SRR15465889,PRJNA751583,NaN,NaN,NaN,NaN
SRR15465890,SRR15465890,GCA_022581195.1,SRR15465890,PRJNA751583,NaN,NaN,NaN,NaN
SRR15465891,SRR15465891,GCA_022581195.1,SRR15465891,PRJNA751583,NaN,NaN,NaN,NaN
